raw_label	canonical_growth_id	growth_value_type	source_layer	source_surface	source_column	source_row_key	transformation_applied	transformation_formula_if_known	is_directly_observed	is_derived	can_join_to_statistical_lnOD	can_join_to_kinetic_OD600	notes
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|24.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|24.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|28.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|28.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|28.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|28.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|32.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|32.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|32.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|32.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|36.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|36.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|36.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|36.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|4.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|4.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|4.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|4.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|41.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|41.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|41.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|41.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|48.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|48.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|48.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|48.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|52.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|52.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|52.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|52.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|56.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|56.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|56.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|56.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|60.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|60.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|60.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|60.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|65.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|65.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|65.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|65.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|7.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|7.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|7.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|7.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|72.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|72.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|72.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|72.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|77.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|77.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|77.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|77.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|82.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|82.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|82.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|82.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|OD600|2|86.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|OD600|2|86.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|86.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids+|MAX|ln(abs-abs0)|2|86.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|0.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|0.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|0.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|0.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|10.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|10.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|10.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|10.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|100.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|100.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|100.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|100.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|13.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|13.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|13.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|13.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|18.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|18.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|18.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|18.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|24.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|24.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|24.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|24.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|28.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|28.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|28.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|28.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|32.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|32.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|32.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|32.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|36.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|36.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|36.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|36.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|4.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|4.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|4.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|4.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|41.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
OD600	growth_node	raw_OD600	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|OD600|1|41.000000	no	not_applicable	yes	no	no	yes	Direct OD600 source label preserved separately from canonical lnOD variable.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|41.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=ln(abs-abs0).
ln(abs-abs0)	growth_node	ln_abs_minus_abs0	statistical	intermediate/analysis_view_observed.tsv	assay_id	Leachates+Inhibitors_Acids-|MIN|ln(abs-abs0)|1|41.000000	yes	unknown_from_source	yes	no	contextual_only	contextual_only	Transformed growth label preserved without assuming raw-measure identity to lnOD.
lnOD	growth_node	lnOD	statistical	intermediate/analysis_view_observed.tsv	variable	Leachates+Inhibitors_Acids-|MIN|OD600|1|48.000000	yes	unknown_from_source	no	yes	yes	no	Canonical statistical growth variable derived from assay_id=OD600.
